clean_text,sentiment
feh this movie started out in an interesting manner but quickly ran the gamut from confusing to dull the confusing parts happened mostly at the beginning where the cut scenes are so numerous that its hard to tell just what is going on for the first twenty minutes or so the dull comes later with a tepid romance between the two living peoplepusses both the vengeful spirit of the dead girl is actually the most lively person in the film which is sad if the rest of the cast had been up to her caliber the movie might have been bettermaybe because the storyline gets really interesting for awhile as it appears that the insane priestess mother of the dead sixteen year old girl is trying to resurrect her daughter from the dead with the decidedly unfortunate side effect that all of the other dead people would come back as well take on solid human form and most likely start killing off everybody a sort of japanese mystical night of the living dead type thing but this doesnt come to pass even though this hairy unwashed priest with a tiny basket strapped to his head tells the uninteresting young people that this will come to pass if the priestess finishes her ritual she does just that and the only dead person who manifests is her daughter no mass rising of the dead no walking army of corpses nothing the priest merely makes the girls spirit go back to the land of the dead taking the washed out wuss of a boyfriend with her as shed crushed his spine like peanut brittleat which point i was tempted to cheer loudly as this idiot went over to kiss and fondle the dead girlewwww the robitussen sucking spineless best friend has a long introspective shot at the end as she leaves the village for the last time and thats it no real horror no real creepiness which the japanese tend to do far better than american film makers with their emphasis on over the top cheesy face make up no screaming mimis i was very disappointed,negative
crackerjack is a simple but feelgood movie where the good guys are very good and the bad guys are very bad and the central character is tempted by both sidesthe combination of the central character being played by mick malloy and the central setting being the local lawn bowls clubs drew an unusually broad crowd ranging from large numbers of teenagers to large numbers of senior citizens and all laughed at the comedyas would be expected of a movie with mick malloy and judith lucy there was quite a bit of swearing but it was not overdone and the audience i sat with certainly enjoyed itmick malloy did a good job as the lazy bloke who joined the bowls club three times simply to get parking spaces one for himself and two for leasing to others at a premium but who has everything fall down on him when he is required to play or lose his membershipjudith lucy does a fine job as his local journalist love interest and there are fabulous performances from bill hunter frank wilson monica maughan lois ramsey and many othersjohn clarkes dour role as the bad guy is not one of his funniest but he gives a solid performancethe not so subtle swipes at pokies provide a bit of a serious note to this otherwise light comedyim sure that those who enjoyed the castle and the dish would also enjoy this movie,positive
this star studded british spanish co production looks great what you can see of it i have three versions two vhs one dvd and all are terribly cropped so badly that it looks as if buildings are having conversations with each other few films suffer as badly from pan and scan as this one as director robert parrish seems to have been so enamored with the widescreen process that he tended to use both sides of the screen at once neglecting the middle another user comments that we see the entire inhabitants of a church massacred at the beginning not in any of the copies i have there are some abrupt cuts of peasants firing their rifles one mexican officer is shot shaw and landau celebrating and thats it we never find out why shaw has become a priest if he really is we never find out what happens to don carlos savalas although i suspect he was called home to star in kojak as his departure seems arbitrary and there is a strange flashback sequence where michael craig mysterious island is dancing around in a bowler hat and bad suit in the great old english music hall tradition to the hit battle of new orleans not sung by johnny horton here but with some lyrics ive never heard before on the plus side the location is great a huge old ruined fortress with escher style stairs leading nowhere some nice scenery chewing by robert shaw and good performances by stevens landau lettieri and telly savalas as telly savalas i didnt really like this film but i havent exactly seen it i will seek the widescreen version and make my decision then,negative
my wife kate and i absolutely loved the series and cant wait for the next one hopefully there is a sequel i would love to know what the catchy song is called and who wrote it maybe because i am old and grey and still interested in life if anyone has the full lyrics please send themof course one big reason why my wife and i liked this series so much was that we are years old and retired but still very active intellectually its great to see a show that highlights the contribution to society that can still be made by older people with special skills and experience the human interest aspect showing the interactions of the characters and the younger people around them is an important part of the showthis series is highly entertaining and very sophisticated on a par with some of our other favourites spooks and hustle,positive
unfortunately this film is typical of the watering down of a good film by numerous sequels universal made several serial monster films in the s which were pale imitations of the original the intelligent egyptologist imhotep has been replaced by a leg dragging frankenstein in mummy wrappings who exhibits no signs of intelligent life this film is entertaining in spots but if you have seen the mummy you will be disappointed,negative
i loved the apprentice for the first two seasonsbut now with season or is it things are getting just plain too tiringi used to like the show but its become donald trumps own ego fest granted its his company youll be working for but come on some of the things says youre fired is just insultingafter watching the show i would not want to work for him not because he is arrogant pompous or such its just that the show is unrealistic and the way he handles things makes me just squirm good entertainment yes but tiring as the back stabbing gets so tiring its not team work its not personal its just business watch your back jack,negative
having seen and loved greg lombardos most recent film knots he co wrote and directed that feature as well i decided to check out his earlier work and this movie was well worth the effort and rental macbeth in manhattan is a tongue in cheek excellent take on the shakespeare favorite updated and moved to nyc i was impressed by the underlying wit and intelligence of the script and was wowed by the way the storyline of the production in the movie mirrors the storyline of the play itself and very cleverly at that the trials and tribulations of life in manhattan parallel many a shakespeare play and central park was rarely put to better use than as the woods around macbeths castle mr lombardo obviously has a fond place in his heart for new york and new york stories knots is a funny and warm sex comedy about six thirty something new yorkers set primarily in a charming brooklyn neighborhood with manhattan offices and a downtown loft thrown in for good measure and has spent considerable time around the plays of shakespeare the movie is well paced and the story reflects a deep understanding of the essential drama at the core of macbeth it reminded me of al pacinos looking for richard another wonderful shakespeare play within a movie i highly recommend checking out macbeth in manhattan,positive
first time i ever felt i needed to write a reviewi have seen thousands of movies in my life and i like a wide range of movies i am reasonably opened minded and can easily say i enjoyed a movie while still saying yeah it was not good but i enjoyed it i can appreciate the mastery of great movies like the shaw shank redemption the godfather and american history x i can like good movies in a genre like horror or comedy even if the movie might not be that great i can even enjoy a bad movie that just happens to entertain me bloodsport i also will try to rate movie fairly even if i did not like it city lights by charlie chapin was not a movie i enjoyed but i can appreciate the acting and story lines for the timei think some people when they go on this site instead of randomly click a rating should take a few ideas into account try to rate the movie based on how good it actually was do not let your personal bias affect the rating also look at other moves you rated and compare the movie you are going to ratethis movie was the worst piece of trash i have ever seen hours of my life where just stolen the acting was awful across the board the scenes where choppy at best however the real disgrace was the story the first minutes we actually had a story that tried to make sense and take the viewer from point a to b however after that it was a nightmare they kept trying to add new elements but nothing was every explained nothing really ever made sense was steward dead is he alive did he hit by lighting was it really lighting was it aliens is he an alien etc the ending tied nothing together and really did not answer any questions the only positive was nobody cared we where just happy to leave the theater what is wrong with some of you i will admit that the of us where so mad about seeing this we did think what would make it better and we decide to tell a few of our friends that this movie was good so they would have to suffer and see this movie what can i say misery loves company that is really the only reason i can see for a ratingdo not waste your life,negative
its been said that batman begins in the first batman movie to get it right but i think thats a horrible overstatement for i think the new batman film although greater that batman forever and batman and robin pales compared to tim burtons classics with this one being the best of the five the darkness is beautiful as is the music and scenery creating a gotham city cloaked in mystery unlike batman begins where gotham city is a normal looking city the villains are terrific in this movie you literally cant take your eyes off of the penguin and cat woman i applaud tim burton for being original with his use of the penguin as a freak rather than an ordinary criminal or a clone of the old batman tv show in batman begins we have the scarecrow whose not nearly as demanding on screen as the penguin or cat woman the film doesnt need to focus only on batman because we already know his story and it is the villains who we are exploring and trying to figure out and they are the ones who create the plot with the penguin running for mayor and seeking revenge for his parents desertion by killing the first born sons of gotham a task he fails danny devito gives the finest performance ever by a superhero villain in any film surpassing even nicholsons joker the closing scene where the penguins drag the dead body of the penguin into the water is touching and powerful its a tragedy that tim burton wasnt allowed to complete his trilogy since warner bros interesting in marketing appeal wanted to lighten the batman movies up and they got their wishunfortunately tim burton planned on directing the third film using the riddler as the villain with no two face and robin to mess it up and im sure michael keaton wouldve signed on so this is the last great batman film batman begins is dark but boring tedious ordinary filled with lackluster villains and a playboy bruce wayne a decent batman film but the best batman film ever never batman returns holds that crown,positive
when uwe boll cinema con man extraordinaire released the first house of the dead adaptation to completely deserved mockery it was generally agreed among fans of the source video game that one would have to be incredibly moronic to contemplate making a sequel hollywoods per capita ratio of morons must indeed be high for not only do we have a sequel it was distributed in the antipodes by sony a company not normally known for its taste in expensive write offs released direct to television in america the sequel does improve on the original in most respects but in so doing it becomes bland rather than interesting the scale of the scenario is enlarged with the action taking place in a deserted town that just happens to surround a university where experiments in a virus that can reanimate the dead have been occurring in particular the action is spread throughout the university where the first infected denizens can be found put simply the film differs from the original in that it actually occurs within a house where dead people can be foundthe cast on the other hand is a real step backward emmanuelle vaugier was specifically made up to resemble a low rent angelina jolie while the rest of the cast never reaches the level of a slumming it jürgen prochnow in fact the only name that will stand out among this cast is one sticky fingaz who probably did not want to be recognised that easily by the people he faces at home put simply these people could not convincingly order pizza on the big screen even under the best direction say what you will about boll but he at least inspired actors like ona grauer to fight against his ineptitude that said the people involved here at least seem to be aware that their film sucks and that they might as well have some fun with it much of the problem with the original was that the director thought he was crafting some kind of misunderstood masterpiece and he took himself seriously unfortunately with the actors failing to take their characters or the predicament seriously what little dramatic tension there could have been is underminedmuch of the plot concerns itself with the search for a generation zero victim of whatever plague is causing the dead to rise or to translate into more practical terms they are trying to find someone who was infected just after the virus mutated into a form that was threatening to humans how this would help when a non mutated strain is usually required to create a vaccine is anyones guess but the manner in which this quest is paced out suffers problems of its own the we have to go back plot device is used in order to pad out the running time but the actual timing of the extra quest is also problematic we are told at one point that the town will be obliterated by cruise missiles in ten minutes yet the heroes drive back into the university locate the sample they are looking for and fight off enough zombies to eat the army of china all in this space of time filmmakers take note it only pays to be specific with time when it can serve rather than hinder dramatic tensionthe special effects used in house of the dead leave those of the original in the dust where uwe boll simulated the deaths of the characters using idiotic rotating camera tricks michael hurst instead uses all the graphic details his budget can allow necks are bitten arms are cut off heads are shot it all makes for a much more convincing throughput but it also disallows the mockery of obvious fakery the photography is also much improved as dvd crypt put it the fact that it is in focus throughout makes it an improvement upon the original but this also deprives us of something to have a laugh at the expense of the writing is also both an improvement and a setback throughout the script references to other horror and survival horror games the most obvious being run like hell are offered the first couple of times they work because they offer clever ways to work titles into ordinary everyday dialogue after the eighth time however they just get on the nerves because they remind gamers of things they would prefer to do with their timeinterestingly house of the dead cost a mere six million to bring to television screens across america given that tom savini on his own would cost more than this to work on a film nowadays i have to say i am somewhat impressed with the visual results in contrast to the much reviled original the zombies here look like actual zombies rather than extras in bad makeup shot poorly in a further contrast to the original the actors appear to have a clue what they are doing sealing the deal is the fact that apart from some real zingers scattered throughout the characters speak like real people however the story is nothing that we have not seen a thousand times already when aliens the real dawn of the dead or the evil dead were released to acclaim the acclaim came from the fact that these films either did something we had not seen before or did it so well that we did not really care house of the dead is competent enough that we do not mock it but it brings nothing new or particularly brilliant to the table so we end up not caring eitherfor that reason and many others i gave house of the dead a two out of ten it is too good to be bad but too bad to be any good unless you are into sucky films as much as i am you are best to steer clear of it,negative
