clean_text,sentiment
feh esta película comenzó de una manera interesante pero rápidamente corrió la gama de confuso a aburrido las partes confusas ocurrieron principalmente al principio donde las escenas cortadas son tan numerosas que es difícil decir lo que está pasando por los primeros veinte minutos más o menos el aburrido viene más tarde con un romance tibio entre las dos personas vivas ambos el espíritu vengativo de la niña muerta es en realidad la persona más animada de la película que es triste si el resto del reparto hubiera estado a la altura de su calibre la película podría haber sido mejor maybe debido a que la historia se hace realmente interesante por un tiempo ya que parece que la locura madre sacerdotisa de la niña muerta de dieciséis años está tratando de resucitar a su hija de entre los muertos con el efecto secundario decididamente desafortunado que todas las otras personas muertas regresaran además tome una forma humana sólida y lo más probable es que comience a matar a todos una especie de noche mística japonesa de la cosa muerta viviente pero esto no llega a pasar aunque este sacerdote peludo sin lavar con una pequeña canasta atada a su cabeza le dice a los jóvenes poco interesantes que esto sucederá si la sacerdotisa termine su ritual ella hace eso y la única persona muerta que se manifiesta es su hija ninguna masa ascendente de los muertos sin ejército caminando de cadáveres nada el sacerdote simplemente hace que el espíritu de la niña regrese a la tierra de los muertos tomando la pelea de un novio con ella ya que ella aplastó su columna vertebral como el cacahuete quebradizo momento en el que me sentí tentado a animarlo ya que esta idiota pasó a besar y acariciar a la niña muerta ewwww el mejor amigo de robitussen el mejor amigo sin espinas tiene un largo tiro introspectivo al final cuando sale del pueblo por última vez y eso es todo ningún horror real ninguna espeluznante real que los japoneses tienden a hacer mucho mejor que los cineastas estadounidenses con su énfasis en el maquillaje de la cara con queso superior sin mimis gritando yo estaba muy decepcionado,negative
crackerjack es una película sencilla pero feelgo donde los buenos son muy buenos y los malos son muy malos y el carácter central es tentado por ambos lados la combinación del personaje central es interpretado por mick malloy y el establecimiento central es el establecimiento local los clubes de tazones atrajeron una multitud inusualmente amplia que van desde un gran número de adolescentes hasta un gran número de personas mayores y todos se rieron de la comedia se esperaría de una película con mick malloy y judith lucy había un poco de juramento pero no estaba exagerado y la audiencia con la que me senté sin duda lo disfruté mick malloy hizo un buen trabajo como el bloke perezoso que se unió a the bowls club tres veces simplemente para obtener espacios de estacionamiento uno para él y dos para arrendar a otros en una prima pero quien ha caído todo en él cuando está obligado a jugar o perder su membresía lucy hace un buen trabajo como su periodista local interés de amor y hay fabulosas actuaciones de bill hunter frank wilson monic a maughan lois ramsey y muchos otros el rol de luhn clarke es el papel que el malo no es uno de sus más divertidos pero da un rendimiento sólido los deslizamientos no tan sutiles en pokies brindan un poco de una nota seria a esta comedia de lo contrario estoy seguro de que aquellos que disfrutaron del castillo y el plato también disfrutarían de esta película,positive
esta coproducción británica española de estrella se ve muy bien lo que se puede ver tengo tres versiones dos vhs un dvd y todas son terriblemente recortadas tan mal que parece que los edificios tienen conversaciones entre sí pocas películas sufren tan mal de pan y escanear como éste como el director robert parrish parece haber estado tan enamorado con el proceso de pantalla panorámica que tendió a usar ambos lados de la pantalla a la vez descuidando el medio otro usuario comenta que vemos a todos los habitantes de una iglesia masacrada al principio no en ninguna de las copias que tengo hay algunos cortes abruptos de campesinos que disparan sus rifles un oficial mexicano es un disparo shaw y landau celebrando y eso es todo nunca descubrimos por qué shaw se ha convertido en un sacerdote si realmente lo es nunca descubrimos lo que le sucede a don carlos savalas aunque sospecho que fue llamado a casa para protagonizar a kojak ya que su partida parece arbitraria y hay una extraña secuencia de flashback donde michael craig isla misteriosa baila en un sombrero de bolos y un mal traje en la gran tradición de la antigua hall de music hall a la batalla de de nueva orleans no cantada por johnny horton aquí pero con algunos letras que nunca he escuchado antes en el lado positivo la ubicación es excelente una enorme antigua fortaleza en ruinas con escaleras de estilo escochero que conduce a ninguna parte un buen paisaje de masticación de robert shaw y buenas actuaciones de stevens landau lettieri y tely savalas como savily savalas realmente no me gustó esta película pero no lo he visto exactamente buscaré la versión de pantalla panorámica y tomaré mi decisión entonces,negative
mi esposa kate y yo nos encantó la serie y no puedo esperar a la siguiente con suerte hay una secuela me encantaría saber cómo se llama la canción pegadiza y quién lo escribió tal vez porque soy viejo y gris y aún interesado en la vida si alguien tiene las letras completas envíeles por supuesto una gran razón por la que mi esposa y yo nos gustó tanto esta serie era que tenemos años y somos jubilados pero todavía muy activos intelectualmente es genial ver un espectáculo que destaca la contribución a la sociedad que aún puede ser hecha por personas mayores con habilidades especiales y experiencia el aspecto del interés humano que muestra las interacciones de los personajes y las personas más jóvenes que las rodean es una parte importante del show esta serie es muy entretenida y muy sofisticada a la par con algunas de nuestras otras favoritas spooks y hustle,positive
desafortunadamente esta película es típica del riego de una buena película por numerosas secuelas universal hizo varias películas de monstruos en serie en la década de que eran imitaciones pálidas del original el egiptólogo inteligente imhotep ha sido reemplazado por un frankenstein de arrastre de piernas en las envolturas de la momia que exhibe signos de vida inteligente esta película se encuentra entretenida en manchas pero si ha visto a la momia se sentirá decepcionado,negative
me encantó el aprendiz para las primeras dos temporadas pero ahora con la temporada o es las cosas están siendo demasiado cansadas solía gustarle el show pero se convierte en donald trumps poith ego fest concedió a su compañía para que trabajará pero vamos algunas de las cosas dicen que estás despedido es simplemente insultante después de ver el espectáculo no quisiera trabajar para él no porque sea arrogante pomposo o tal es solo que el espectáculo no es realista y la forma en que maneja las cosas me hace retorcerse buen entretenimiento sí pero agotadoras ya que la apuñalamiento de la espalda se hace tan agotadora no funciona el equipo no es personal es solo un negocio mira tu jack de espalda,negative
habiendo visto y amado los nudos de la película más reciente de greg lombardo él co escribió y dirigió esa característica también decidí consultar su trabajo anterior y esta película valió la pena el esfuerzo y al alquiler macbeth en manhattan es una lengua en la mejilla excelente asumir el favorito de shakespeare actualizado y trasladado a nyc me impresionó el ingenio subyacente e inteligencia del guión y fue eliminado por la forma en que la historia de la producción en la película refleja la historia de la obra en sí y muy inteligentemente en eso los juicios y tribulaciones de la vida en manhattan paralelas a muchos juegos de shakespeare y el parque central rara vez se puso a su uso mejor que el bosque alrededor del castillo de macbeth el sr lombardo obviamente tiene un lugar fondado en su corazón para las historias de nueva york y nueva york los nudos son una comedia de sexo divertido y cálido aproximadamente seis neoyorquinos de treinta y golosos establecidos principalmente en un encantador barrio de brooklyn con las oficinas de manhattan y un loft del centro en por si acaso y ha gastado un tiempo considerable alrededor de las obras de shakespeare la película está bien estimada y la historia refleja una profunda comprensión del drama esencial en el núcleo de macbeth me recordó a la buscar richard de al pacino otro maravilloso shakespeare juega dentro de una película recomiendo encarecidamente registrarme macbeth en manhattan,positive
la primera vez que sentí que necesitaba escribir una revisión he visto miles de películas en mi vida y me gusta una amplia gama de películas estoy razonablemente abierto y puedo decir fácilmente que disfruté de una película mientras seguía diciendo sí no fue bueno pero lo disfruté puedo apreciar el dominio de las grandes películas como la redención de shaw shank el padrino y la historia estadounidense x puedo gustarme las buenas películas en un género como horror o comedia incluso si la película podría no ser tan grande incluso puedo disfrutar de una mala película que solo sucede para entretenerme bloodsport también intentaré calificar a la película bastante incluso si no me gustara las luces de la ciudad de charlie chapin no fue una película que disfruté pero puedo apreciar las líneas de actuación y historia para el tiempo creo que algunas personas cuando van en este sitio en lugar de hacer clic al azar deben tener en cuenta algunas ideas intenta calificar la película en función de lo bueno que realmente fue no permita que su sesgo personal afecte la calificación también mire otros movimientos que calificó y comparar la película que va a calificar esta película fue la peor pieza de basura que he visto horas de mi vida donde solo roban la actuación fue horrible en todo el tablero las escenas donde están picadas en el mejor sin embargo la verdadera desgracia fue la historia los primeros minutos en realidad teníamos una historia que intentó tener sentido y llevar al espectador desde el punto a a b sin embargo después de eso fue una pesadilla seguían tratando de agregar nuevos elementos pero nada fue todo explicado nada realmente tenía sentido era un mayordomo muerto está vivo lo golpeó por la iluminación fue realmente iluminada era alienígena es un extraterrestre etc el final nada atado por nada y realmente no respondió ninguna pregunta el único positivo fue que nadie le importaba de dónde solo salimos del teatro qué está mal con algunos de ustedes admitiré que los de nosotros donde estaban tan enojados por ver esto pensamos qué lo haría mejor y decidimos contarles a algunos de nuestros amigos que esta película fue buena así que tendrían que sufrir y ver esta película qué puedo decir que misery ama a la compañía esa es realmente la única razón por la que puedo ver por una calificación no desperdicies tu vida,negative
se ha dicho que batman comienza en la primera película de batman para hacerlo bien pero creo que eso es una horrible sobreestimación porque creo que la nueva película de batman aunque es mayor que batman para siempre y batman y robin palés en comparación con los clásicos de tim burton con este ser el mejor de los cinco la oscuridad es hermosa al igual que la música y el paisaje creando una ciudad de gotham chouse en mystery a diferencia de batman comienza donde gotham city es una ciudad de aspecto normal los villanos son excelentes en esta película literalmente no puedes quitarte los ojos de la mujer del pingüino y del gato aplaudo a tim burton por ser original con su uso del pingüino como un monstruo en lugar de un criminal ordinario o un clon del antiguo programa de televisión de batman en batman comienza tenemos el espantapájaros que no es tan exigente en la pantalla como el pingüino o la mujer gato la película no necesita concentrarse solo en batman porque ya conocemos su historia y son los villanos que estamos explorando y tratando de averiguar y son los que crean la trama con el pingüino corriendo para alcalde y buscando venganza por la deserción de sus padres matando a los primeros hijos nacidos de gotham una tarea que falla danny devito le da al mejor desempeño por un villano de superhéroes en cualquier película superando incluso a joker de nicholson la escena de cierre donde los pingüinos arrastran el cuerpo muerto del pingüino al agua se tocan y poderosos es una tragedia que tim burton no se le permitió completar su trilogía ya que warner bros interesante en la apelación de marketing quería aligerar las películas de batman y tuvieron su deseo lamentablemente tim burton planeó en dirigir la tercera película usando el riddler como el villano sin dos rostro y robin para arruinarlo y estoy seguro de que michael keaton hubiera firmado así que esta es la última gran película de batman batman comienza es oscuro pero aburrido tedioso ordinario lleno de villanos de lackluster y un playboy bruce wayne una película decente de batman pero la mejor película de batman de la historia nunca batman devuelve sostiene esa corona,positive
when uwe boll cinema con man extraordinaire released the first house of the dead adaptation to completely deserved mockery it was generally agreed among fans of the source video game that one would have to be incredibly moronic to contemplate making a sequel hollywood s per capita ratio of morons must indeed be high for not only do we have a sequel it was distributed in the antipodes by sony a company not normally known for its taste in expensive write offs released direct to television in america the sequel does improve on the original in most respects but in so doing it becomes bland rather than interesting the scale of the scenario is enlarged with the action taking place in a deserted town that just happens to surround a university where experiments in a virus that can reanimate the dead have been occurring in particular the action is spread throughout the university where the first infected denizens can be found put simply the film differs from the original in that it actually occurs within a house where dead people can be foundthe cast on the other hand is a real step backward emmanuelle vaugier was specifically made up to resemble a low rent angelina jolie while the rest of the cast never reaches the level of a slumming it jürgen prochnow in fact the only name that will stand out among this cast is one sticky fingaz who probably did not want to be recognised that easily by the people he faces at home put simply these people could not convincingly order pizza on the big screen even under the best direction say what you will about boll but he at least inspired actors like ona grauer to fight against his ineptitude that said the people involved here at least seem to be aware that their film sucks and that they might as well have some fun with it much of the problem with the original was that the director thought he was crafting some kind of misunderstood masterpiece and he took himself seriously unfortunately with the actors failing to take their characters or the predicament seriously what little dramatic tension there could have been is underminedmuch of the plot concerns itself with the search for a generation zero victim of whatever plague is causing the dead to rise or to translate into more practical terms they are trying to find someone who was infected just after the virus mutated into a form that was threatening to humans how this would help when a non mutated strain is usually required to create a vaccine is anyone s guess but the manner in which this quest is paced out suffers problems of its own the we have to go back plot device is used in order to pad out the running time but the actual timing of the extra quest is also problematic we are told at one point that the town will be obliterated by cruise missiles in ten minutes yet the heroes drive back into the university locate the sample they are looking for and fight off enough zombies to eat the army of china all in this space of time filmmakers take note it only pays to be specific with time when it can serve rather than hinder dramatic tensionthe special effects used in house of the dead leave those of the original in the dust where uwe boll simulated the deaths of the characters using idiotic rotating camera tricks michael hurst instead uses all the graphic details his budget can allow necks are bitten arms are cut off heads are shot it all makes for a much more convincing throughput but it also disallows the mockery of obvious fakery the photography is also much improved as dvd crypt put it the fact that it is in focus throughout makes it an improvement upon the original but this also deprives us of something to have a laugh at the expense of the writing is also both an improvement and a setback throughout the script references to other horror and survival horror games the most obvious being run like hell are offered the first couple of times they work because they offer clever ways to work titles into ordinary everyday dialogue after the eighth time however they just get on the nerves because they remind gamers of things they would prefer to do with their timeinterestingly house of the dead cost a mere six million to bring to television screens across america given that tom savini on his own would cost more than this to work on a film nowadays i have to say i am somewhat impressed with the visual results in contrast to the much reviled original the zombies here look like actual zombies rather than extras in bad makeup shot poorly in a further contrast to the original the actors appear to have a clue what they are doing sealing the deal is the fact that apart from some real zingers scattered throughout the characters speak like real people however the story is nothing that we have not seen a thousand times already when aliens the real dawn of the dead or the evil dead were released to acclaim the acclaim came from the fact that these films either did something we had not seen before or did it so well that we did not really care house of the dead is competent enough that we do not mock it but it brings nothing new or particularly brilliant to the table so we end up not caring eitherfor that reason and many others i gave house of the dead a two out of ten it is too good to be bad but too bad to be any good unless you are into sucky films as much as i am you are best to steer clear of it,negative
