review_es,sentimiento
"Feh. Esta película comenzó de una manera interesante, pero rápidamente corrió la gama de confuso a aburrido. Las partes confusas ocurrieron principalmente al principio, donde las escenas cortadas son tan numerosas que es difícil decir lo que está pasando por los primeros veinte minutos más o menos. El aburrido viene más tarde, con un romance tibio entre las dos personas vivas (ambos). El espíritu vengativo de la niña muerta es en realidad la persona más animada de la película, que es triste. Si el resto del reparto hubiera estado a la altura de su calibre, la película podría haber sido mejor.Maybe. Debido a que la historia se hace realmente interesante por un tiempo, ya que parece que la locura madre sacerdotisa de la niña muerta de dieciséis años está tratando de resucitar a su hija de entre los muertos, con el efecto secundario decididamente desafortunado que todas las otras personas muertas regresaran Además, tome una forma humana sólida, y lo más probable es que comience a matar a todos. Una especie de noche mística japonesa de la cosa muerta viviente. Pero esto no llega a pasar. Aunque este sacerdote peludo sin lavar con una pequeña canasta atada a su cabeza le dice a los jóvenes poco interesantes que esto sucederá si la sacerdotisa termine su ritual, ella hace eso y la única persona muerta que se manifiesta es su hija. Ninguna masa ascendente de los muertos, sin ejército caminando de cadáveres, nada. El sacerdote simplemente hace que el espíritu de la niña regrese a la tierra de los muertos, tomando la pelea de un novio con ella, ya que ella aplastó su columna vertebral como el cacahuete quebradizo (momento en el que me sentí tentado a animarlo, ya que esta Idiota pasó a besar y acariciar a la niña muerta, ewwww !!!). El mejor amigo de Robitussen, el mejor amigo sin espinas tiene un largo tiro introspectivo al final cuando sale del pueblo por última vez, y eso es todo. Ningún horror real, ninguna espeluznante real, que los japoneses tienden a hacer mucho mejor que los cineastas estadounidenses con su énfasis en el maquillaje de la cara con queso superior, sin mimis gritando. Yo estaba muy decepcionado.",negativo
"Crackerjack es una película sencilla pero feelgo donde los buenos son muy buenos y los malos son muy malos y el carácter central es tentado por ambos lados. La combinación del personaje central es interpretado por Mick Malloy y el establecimiento central es el establecimiento local. Los clubes de tazones atrajeron una multitud inusualmente amplia que van desde un gran número de adolescentes hasta un gran número de personas mayores, y todos se rieron de la comedia. Se esperaría de una película con Mick Malloy y Judith Lucy había un poco de juramento, pero ¡No estaba exagerado y la audiencia con la que me senté sin duda lo disfruté! Mick Malloy hizo un buen trabajo como el bloke perezoso que se unió a The Bowls Club (tres veces) simplemente para obtener espacios de estacionamiento (uno para él y dos para arrendar a otros en una prima. ) Pero, quien ha caído todo en él cuando está obligado a jugar o perder su membresía. Lucy hace un buen trabajo como su periodista local / interés de amor y hay fabulosas actuaciones de Bill Hunter, Frank Wilson, Monic A Maughan, Lois Ramsey y muchos otros. El rol de luhn Clarke es el papel que el malo no es uno de sus más divertidos, pero da un rendimiento sólido. Los deslizamientos no tan sutiles en Pokies brindan un poco de una nota seria a esta comedia de lo contrario. Estoy seguro de que aquellos que disfrutaron del castillo y el plato también disfrutarían de esta película.",positivo
"Esta coproducción británica / española de estrella se ve muy bien, lo que se puede ver. Tengo tres versiones, dos VHS, un DVD, y todas son terriblemente recortadas, tan mal que parece que los edificios tienen conversaciones entre sí. Pocas películas sufren tan mal de Pan y escanear como éste, como el director Robert Parrish parece haber estado tan enamorado con el proceso de pantalla panorámica que tendió a usar ambos lados de la pantalla a la vez, descuidando el medio. Otro usuario comenta que vemos a todos los habitantes de una iglesia masacrada al principio; No en ninguna de las copias que tengo. Hay algunos cortes abruptos de campesinos que disparan sus rifles, un oficial mexicano es un disparo, Shaw y Landau celebrando, y eso es todo. Nunca descubrimos por qué Shaw se ha convertido en un sacerdote (si realmente lo es), nunca descubrimos lo que le sucede a Don Carlos (Savalas), aunque sospecho que fue llamado a casa para protagonizar a Kojak, ya que su partida parece arbitraria. Y hay una extraña secuencia de flashback donde Michael Craig (isla misteriosa) baila en un sombrero de bolos y un mal traje en la gran tradición de la antigua Hall de Music Hall a la batalla de 1960 de Nueva Orleans, no cantada por Johnny Horton aquí, pero con algunos Letras que nunca he escuchado antes. En el lado positivo, la ubicación es excelente, una enorme antigua fortaleza en ruinas con escaleras de estilo escochero que conduce a ninguna parte, un buen paisaje de masticación de Robert Shaw, y buenas actuaciones de Stevens, Landau, Lettieri y Tely Savalas como Savily Savalas. Realmente no me gustó esta película, pero no lo he visto exactamente. Buscaré la versión de pantalla panorámica y tomaré mi decisión entonces.",negativo
"Mi esposa, Kate y yo nos encantó la serie y no puedo esperar a la siguiente (¡con suerte hay una secuela!).Me encantaría saber cómo se llama la canción pegadiza y quién lo escribió, tal vez porque soy ""viejo y gris"" y aún interesado en la vida :-).Si alguien tiene las letras completas, envíeles. Por supuesto, una gran razón por la que mi esposa y yo nos gustó tanto esta serie era que tenemos 75 años y somos jubilados pero todavía muy activos intelectualmente.Es genial ver un espectáculo que destaca la contribución a la sociedad que aún puede ser hecha por personas mayores con habilidades especiales y experiencia.El aspecto del interés humano que muestra las interacciones de los personajes y las personas más jóvenes que las rodean es una parte importante del show. Esta serie es muy entretenida y muy sofisticada, a la par con algunas de nuestras otras favoritas, ""Spooks"" y ""Hustle"".",positivo
"Desafortunadamente, esta película es típica del riego de una buena película por numerosas secuelas.Universal hizo varias películas de monstruos en serie en la década de 1940, que eran imitaciones pálidas del original.El egiptólogo inteligente Imhotep ha sido reemplazado por un Frankenstein de arrastre de piernas en las envolturas de la momia, que exhibe signos de vida inteligente.Esta película se encuentra entretenida en manchas, pero si ha visto a la momia (1932), se sentirá decepcionado.",negativo
"Me encantó el aprendiz para las primeras dos temporadas. ¿Pero ahora con la temporada 5?(¿O es 6?) Las cosas están siendo demasiado cansadas. Solía gustarle el show, pero se convierte en Donald Trumps Poith Ego Fest.Concedió a su compañía para que trabajará, ¡pero vamos!Algunas de las cosas dicen que ""estás despedido"" es simplemente insultante. Después de ver el espectáculo, no quisiera trabajar para él.No porque sea arrogante, pomposo o tal.Es solo que el espectáculo no es realista y la forma en que maneja las cosas me hace retorcerse.Buen entretenimiento?Sí, pero agotadoras, ya que la apuñalamiento de la espalda se hace tan agotadora ... no funciona el equipo, no es personal, es solo un negocio.Mira tu jack de espalda.",negativo
"Habiendo visto y amado los ""nudos"" de la película más reciente de Greg Lombardo (él co-escribió y dirigió esa característica también), decidí consultar su trabajo anterior, y esta película valió la pena el esfuerzo y al alquiler. Macbeth en Manhattan es una lengua en la mejilla, excelente asumir el favorito de Shakespeare, actualizado y trasladado a NYC. Me impresionó el ingenio subyacente e inteligencia del guión y fue eliminado por la forma en que la historia de la producción en la película refleja la historia de la obra en sí, y muy inteligentemente en eso. Los juicios y tribulaciones de la vida en Manhattan paralelas a muchos juegos de Shakespeare, y el parque central rara vez se puso a su uso mejor que el bosque alrededor del castillo de Macbeth. El Sr. Lombardo obviamente tiene un lugar fondado en su corazón para las historias de Nueva York y Nueva York (los nudos son una comedia de sexo divertido y cálido, aproximadamente seis neoyorquinos de treinta y golosos establecidos principalmente en un encantador barrio de Brooklyn, con las oficinas de Manhattan y un loft del centro. En por si acaso) y ha gastado un tiempo considerable alrededor de las obras de Shakespeare. La película está bien estimada y la historia refleja una profunda comprensión del drama esencial en el núcleo de Macbeth. Me recordó a la ""Buscar Richard"" de Al Pacino, otro maravilloso Shakespeare ""Juega dentro de una película"". Recomiendo encarecidamente registrarme Macbeth en Manhattan.",positivo
"La primera vez que sentí que necesitaba escribir una revisión. He visto miles de películas en mi vida y me gusta una amplia gama de películas. Estoy razonablemente abierto, y puedo decir fácilmente que disfruté de una película mientras seguía diciendo ""Sí, no fue bueno, pero lo disfruté"". Puedo apreciar el dominio de las grandes películas como la redención de ShAW Shank, el padrino y la historia estadounidense X. Puedo gustarme las buenas películas en un género como horror, o comedia, incluso si la película podría no ser tan grande. Incluso puedo disfrutar de una mala película que solo sucede para entretenerme (Bloodsport). También intentaré calificar a la película bastante incluso si no me gustara. Las luces de la ciudad de Charlie Chapin no fue una película que disfruté, pero puedo apreciar las líneas de actuación y historia para el tiempo. Creo que algunas personas cuando van en este sitio en lugar de hacer clic al azar, deben tener en cuenta algunas ideas. Intenta calificar la película en función de lo bueno que realmente fue. No permita que su sesgo personal afecte la calificación. También mire otros movimientos que calificó y comparar la película que va a calificar. Esta película ""fue la peor pieza de basura que he visto. 2 horas de mi vida donde solo roban. La actuación fue horrible, en todo el tablero. Las escenas donde están picadas en el mejor. Sin embargo, la verdadera desgracia fue la historia. Los primeros 20 minutos en realidad teníamos una historia que intentó tener sentido y llevar al espectador desde el punto A a B. Sin embargo, después de eso fue una pesadilla. Seguían tratando de agregar nuevos elementos, pero nada fue todo explicado. Nada realmente tenía sentido, era un mayordomo muerto, está vivo, lo golpeó por la iluminación, fue realmente iluminada, era alienígena, es un extraterrestre, etc. El final nada atado por nada y realmente no respondió ninguna pregunta. El único positivo fue que nadie le importaba, ¿de dónde solo salimos del teatro.6.5 / 10 ??? ¿Qué está mal con algunos de ustedes? Admitiré que los 8 de nosotros, donde estaban tan enojados por ver esto, pensamos ""¿qué lo haría mejor?"", Y decidimos contarles a algunos de nuestros amigos que esta película fue buena, así que tendrían que sufrir y ver esta película. ¿Qué puedo decir que Misery ama a la compañía? Esa es realmente la única razón por la que puedo ver por una calificación 6.5. ¡No desperdicies tu vida!",negativo
"Se ha dicho que Batman comienza en la primera película de Batman para ""hacerlo bien"", pero creo que eso es una horrible sobreestimación, porque creo que la nueva película de Batman, aunque es mayor que Batman para siempre y Batman y Robin, Palés, en comparación con los clásicos de Tim Burton, Con este ser el mejor de los cinco. La oscuridad es hermosa, al igual que la música y el paisaje, creando una ciudad de Gotham Chouse en Mystery, a diferencia de Batman comienza, donde Gotham City es una ciudad de aspecto normal. Los villanos son excelentes en esta película. Literalmente, no puedes quitarte los ojos de la mujer del pingüino y del gato. Aplaudo a Tim Burton por ser original con su uso del pingüino como un monstruo, en lugar de un criminal ordinario o un clon del antiguo programa de televisión de Batman. En Batman comienza, tenemos el espantapájaros, que no es tan exigente en la pantalla como el pingüino o la mujer gato. La película no necesita concentrarse solo en Batman, porque ya conocemos su historia, y son los villanos que estamos explorando y tratando de averiguar, y son los que crean la trama, con el pingüino corriendo para alcalde. y buscando venganza por la deserción de sus padres matando a los primeros hijos nacidos de Gotham, una tarea que falla. Danny Devito le da al mejor desempeño por un villano de superhéroes en cualquier película, superando incluso a Joker de Nicholson. La escena de cierre donde los pingüinos arrastran el cuerpo muerto del pingüino al agua, se tocan y poderosos. Es una tragedia que Tim Burton no se le permitió completar su trilogía, ya que Warner Bros., interesante en la apelación de marketing, quería ""aligerar"" las películas de Batman. Y tuvieron su deseo ... Lamentablemente. Tim Burton planeó en dirigir la tercera película, usando el Riddler como el villano, sin dos rostro y robin para arruinarlo, y estoy seguro de que Michael Keaton hubiera firmado. Así que esta es la última gran película de Batman. Batman comienza es oscuro, pero aburrido, tedioso, ordinario, lleno de villanos de Lackluster, y un Playboy Bruce Wayne. ¿Una película decente de Batman, pero la mejor película de Batman de la historia? Nunca. Batman Devuelve sostiene esa corona.",positivo
"When Uwe Boll, cinema con man extraordinaire, released the first House Of The Dead adaptation to completely deserved mockery, it was generally agreed among fans of the source video game that one would have to be incredibly moronic to contemplate making a sequel Hollywood's per-capita ratio of morons must indeed be high, for not only do we have a sequel, it was distributed in the antipodes by Sony, a company not normally known for its taste in expensive write-offs Released direct to television in America, the sequel does improve on the original in most respects, but in so doing, it becomes bland rather than interesting The scale of the scenario is enlarged, with the action taking place in a deserted town that just happens to surround a university where experiments in a virus that can reanimate the dead have been occurring In particular, the action is spread throughout the university, where the first infected denizens can be found Put simply, the film differs from the original in that it actually occurs within a house where dead people can be foundThe cast, on the other hand, is a real step backward Emmanuelle Vaugier was specifically made up to resemble a low-rent Angelina Jolie, while the rest of the cast never reaches the level of a slumming-it Jürgen Prochnow In fact, the only name that will stand out among this cast is one Sticky Fingaz, who probably did not want to be recognised that easily by the people he faces at home Put simply, these people could not convincingly order pizza on the big screen, even under the best direction Say what you will about Boll, but he at least inspired actors like Ona Grauer to fight against his ineptitude That said, the people involved here at least seem to be aware that their film sucks and that they might as well have some fun with it Much of the problem with the original was that the director thought he was crafting some kind of misunderstood masterpiece, and he took himself seriously Unfortunately, with the actors failing to take their characters or the predicament seriously, what little dramatic tension there could have been is underminedMuch of the plot concerns itself with the search for a generation-zero victim of whatever plague is causing the dead to rise Or to translate into more practical terms, they are trying to find someone who was infected just after the virus mutated into a form that was threatening to humans How this would help when a non-mutated strain is usually required to create a vaccine is anyone's guess, but the manner in which this quest is paced out suffers problems of its own The we-have-to-go-back plot device is used in order to pad out the running time, but the actual timing of the extra quest is also problematic We are told at one point that the town will be obliterated by Cruise missiles in ten minutes, yet the heroes drive back into the university, locate the sample they are looking for, and fight off enough zombies to eat the army of China, all in this space of time Filmmakers take note: it only pays to be specific with time when it can serve rather than hinder dramatic tensionThe special effects used in House Of The Dead 2 leave those of the original in the dust Where Uwe Boll simulated the deaths of the characters using idiotic rotating camera tricks, Michael Hurst instead uses all the graphic details his budget can allow Necks are bitten, arms are cut off, heads are shot It all makes for a much more convincing throughput, but it also disallows the mockery of obvious fakery The photography is also much improved As DVD Crypt put it, the fact that it is in focus throughout makes it an improvement upon the original, but this also deprives us of something to have a laugh at the expense of The writing is also both an improvement and a setback Throughout the script, references to other horror and survival horror games, the most obvious being Run Like Hell, are offered The first couple of times, they work because they offer clever ways to work titles into ordinary, everyday dialogue After the eighth time, however, they just get on the nerves because they remind gamers of things they would prefer to do with their timeInterestingly, House Of The Dead 2 cost a mere six million to bring to television screens across America Given that Tom Savini on his own would cost more than this to work on a film nowadays, I have to say I am somewhat impressed with the visual results In contrast to the much-reviled original, the zombies here look like actual zombies rather than extras in bad makeup shot poorly In a further contrast to the original, the actors appear to have a clue what they are doing Sealing the deal is the fact that apart from some real zingers scattered throughout, the characters speak like real people However, the story is nothing that we have not seen a thousand times already When Aliens, the real Dawn Of The Dead, or The Evil Dead were released to acclaim, the acclaim came from the fact that these films either did something we had not seen before, or did it so well that we did not really care House Of The Dead 2 is competent enough that we do not mock it, but it brings nothing new or particularly brilliant to the table, so we end up not caring eitherFor that reason, and many others, I gave House Of The Dead 2 a two out of ten It is too good to be bad, but too bad to be any good Unless you are into sucky films as much as I am, you are best to steer clear of it",negativo
